Fold,AUC,F1,ACC,ACC_0,ACC_1,G-mean
1,0.7453703703703703,0.7142857142857143,0.6,0.25,0.8333333333333334,0.45643546458763845
2,0.8409090909090909,0.8571428571428571,0.7666666666666667,0.25,0.9545454545454546,0.48850421045919723
3,0.78,0.8333333333333334,0.7333333333333333,0.2,1.0,0.4472135954999579
4,0.746606334841629,0.7567567567567568,0.7,0.5384615384615384,0.8235294117647058,0.6659120918162917
5,0.7724867724867726,0.8235294117647058,0.7,0.0,1.0,0.0
6,0.6168831168831169,0.88,0.7931034482758621,0.14285714285714285,1.0,0.3779644730092272
7,0.5894736842105263,0.46153846153846156,0.5172413793103449,0.9,0.3157894736842105,0.5331139899831832
8,0.9141414141414141,0.8,0.6896551724137931,0.18181818181818182,1.0,0.4264014327112209
9,0.75,0.7428571428571429,0.6896551724137931,0.5384615384615384,0.8125,0.6614378277661477
10,0.8894230769230769,0.7777777777777778,0.7241379310344828,0.5384615384615384,0.875,0.6864064729836441
