trial_id,optimizer_config__optimizer_params,optimizer_config__optimizer,model_config__virtual_batch_size,model_config__n_layers,model_config__k,model_config__dropout_rate,model_config__block_activation,model_config__abstlay_dim_2,model_config__abstlay_dim_1,model,loss_0,loss,accuracy,auroc,model_config__transformer_head_dim,model_config__transformer_activation,model_config__shared_embedding_fraction,model_config__share_embedding_strategy,model_config__share_embedding,model_config__num_heads,model_config__num_attn_blocks,model_config__input_embed_dim,model_config__ff_hidden_multiplier,model_config__ff_dropout,model_config__embedding_initialization,model_config__embedding_dropout,model_config__embedding_bias,model_config__attn_dropout,model_config__add_norm_dropout,model_config__use_batch_norm,model_config__initialization,model_config__has_residuals,model_config__embedding_dim,model_config__dropout,model_config__deep_layers,model_config__attn_embed_dim,model_config__attn_dropouts,model_config__attention_pooling,model_config__activation,model_config__n_steps,model_config__n_shared,model_config__n_independent,model_config__n_d,model_config__n_a,model_config__mask_type,model_config__gamma,model_config__batch_norm_continuous_input
0,{'weight_decay': 0.001},AdamW,512.0,8.0,5.0,0.0,ReLU,32.0,32.0,DANetModel,0.6501491069793701,0.6501491069793701,0.6440678238868713,0.5388470888137817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,{'weight_decay': 0.01},Adam,256.0,4.0,7.0,0.1,GELU,128.0,16.0,DANetModel,0.6339601874351501,0.6339601874351501,0.694915235042572,0.6052631735801697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,{'weight_decay': 0.01},AdamW,128.0,6.0,5.0,0.2,GELU,128.0,64.0,DANetModel,0.6179670095443726,0.6179670095443726,0.6271186470985413,0.6416040658950806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,{'weight_decay': 0.001},AdamW,256.0,6.0,7.0,0.2,ReLU,128.0,32.0,DANetModel,0.6478026509284973,0.6478026509284973,0.6440678238868713,0.5526316165924072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,{'weight_decay': 0.01},AdamW,256.0,8.0,7.0,0.2,GELU,32.0,32.0,DANetModel,0.6525895595550537,0.6525895595550537,0.6440678238868713,0.5062656402587891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,{'weight_decay': 0.01},Adam,128.0,8.0,3.0,0.1,LeakyReLU,128.0,32.0,DANetModel,0.691460132598877,0.691460132598877,0.5254237055778503,0.43609023094177246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,{'weight_decay': 0.001},Adam,256.0,6.0,7.0,0.2,ReLU,64.0,64.0,DANetModel,0.6509814858436584,0.6509814858436584,0.6440678238868713,0.5363408327102661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,{'weight_decay': 0.001},AdamW,256.0,4.0,7.0,0.2,GELU,128.0,32.0,DANetModel,0.6485050916671753,0.6485050916671753,0.6440678238868713,0.5513784885406494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,{'weight_decay': 0.01},Adam,512.0,4.0,3.0,0.0,GELU,32.0,64.0,DANetModel,0.6388110518455505,0.6388110518455505,0.6440678238868713,0.5789474248886108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,{'weight_decay': 0.001},Adam,256.0,4.0,3.0,0.2,LeakyReLU,128.0,32.0,DANetModel,0.6419389843940735,0.6419389843940735,0.6440678238868713,0.6102756857872009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
